# PROTOTYPE - NOT FOR PRODUCTION
# Frame-by-frame verification for harpoon projectile and procedural rope
frame,time,delta_ms,phase,extension,projectile_distance,rope_length,rope_visible,rope_start_error,rope_end_error
0,0.025000,25.000000,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
1,0.058333,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
2,0.100000,41.666667,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
3,0.129167,29.166667,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
4,0.159167,30.000000,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
5,0.191667,32.500000,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
6,0.225000,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
7,0.258333,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
8,0.291667,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
9,0.325000,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
10,0.358333,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
11,0.391667,33.333333,COCKED,0.000000,0.000000,0.000000,false,0.00000000,0.00000000
12,0.425000,33.333333,FIRING,0.176025,1.056152,1.233851,true,0.00000000,0.00000000
13,0.458333,33.333333,FIRING,0.376799,2.260796,2.321632,true,0.00000000,0.00000000
14,0.491667,33.333333,FIRING,0.541983,3.251898,3.280261,true,0.00000000,0.00000000
15,0.525000,33.333333,FIRING,0.675049,4.050292,4.065386,true,0.00000000,0.00000000
16,0.558333,33.333333,FIRING,0.779469,4.676811,4.685854,true,0.00000000,0.00000000
17,0.591667,33.333333,FIRING,0.858715,5.152288,5.158307,true,0.00000000,0.00000000
18,0.625000,33.333333,FIRING,0.916260,5.497558,5.501594,true,0.00000000,0.00000000
19,0.658333,33.333333,FIRING,0.955575,5.733452,5.736344,true,0.00000000,0.00000000
20,0.691667,33.333333,FIRING,0.980134,5.880804,5.883482,true,0.00000000,0.00000000
21,0.725000,33.333333,FIRING,0.993408,5.960448,5.963070,true,0.00000000,0.00000000
22,0.758333,33.333333,FIRING,0.998870,5.993217,5.995433,true,0.00000000,0.00000000
23,0.791667,33.333333,FIRING,0.999991,5.999945,6.001968,true,0.00000000,0.00000000
24,0.825000,33.333333,ROPE TAUT,1.000000,5.999999,6.002344,true,0.00000000,0.00000000
25,0.858333,33.333333,ROPE TAUT,1.000000,5.999999,6.002498,true,0.00000000,0.00000000
26,0.891667,33.333333,ROPE TAUT,1.000000,5.999999,6.002167,true,0.00000000,0.00000000
27,0.925000,33.333333,ROPE TAUT,1.000000,5.999999,6.002032,true,0.00000000,0.00000000
28,0.958333,33.333333,ROPE TAUT,1.000000,5.999999,6.002371,true,0.00000000,0.00000000
29,0.991667,33.333333,ROPE TAUT,1.000000,5.999999,6.002486,true,0.00000000,0.00000000
30,1.025000,33.333333,ROPE TAUT,1.000000,5.999999,6.002141,true,0.00000000,0.00000000
31,1.058333,33.333333,ROPE TAUT,1.000000,5.999999,6.002046,true,0.00000000,0.00000000
32,1.091667,33.333333,ROPE TAUT,1.000000,5.999999,6.002396,true,0.00000000,0.00000000
33,1.125000,33.333333,ROPE TAUT,1.000000,5.999999,6.002471,true,0.00000000,0.00000000
34,1.158333,33.333333,ROPE TAUT,1.000000,5.999999,6.002116,true,0.00000000,0.00000000
35,1.191667,33.333333,ROPE TAUT,1.000000,5.999999,6.002062,true,0.00000000,0.00000000
