# PROTOTYPE - NOT FOR PRODUCTION
# Frame-by-frame verification for yaw, harpoon projectile, and procedural rope
frame,time,delta_ms,phase,yaw_degrees,extension,projectile_distance,rope_length,rope_visible,rope_start_error,rope_end_error,static_base_drift
0,0.025000,25.000000,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
1,0.058333,33.333333,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
2,0.100000,41.666667,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
3,0.129167,29.166667,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
4,0.159167,30.000000,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
5,0.191667,32.500000,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
6,0.225000,33.333333,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
7,0.258333,33.333333,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
8,0.291667,33.333333,READY,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
9,0.325000,33.333333,AIMING,-31.775875,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
10,0.358333,33.333333,AIMING,-30.819444,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
11,0.391667,33.333333,AIMING,-29.182742,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
12,0.425000,33.333333,AIMING,-26.943513,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
13,0.458333,33.333333,AIMING,-24.179503,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
14,0.491667,33.333333,AIMING,-20.968456,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
15,0.525000,33.333333,AIMING,-17.388120,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
16,0.558333,33.333333,AIMING,-13.516237,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
17,0.591667,33.333333,AIMING,-9.430556,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
18,0.625000,33.333333,AIMING,-5.208819,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
19,0.658333,33.333333,AIMING,-0.928774,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
20,0.691667,33.333333,AIMING,3.331835,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
21,0.725000,33.333333,AIMING,7.495262,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
22,0.758333,33.333333,AIMING,11.483763,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
23,0.791667,33.333333,AIMING,15.219590,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
24,0.825000,33.333333,AIMING,18.625000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
25,0.858333,33.333333,AIMING,21.622247,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
26,0.891667,33.333333,AIMING,24.133584,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
27,0.925000,33.333333,AIMING,26.081268,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
28,0.958333,33.333333,AIMING,27.387553,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
29,0.991667,33.333333,AIMING,27.974692,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
30,1.025000,33.333333,LOCKED,28.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
31,1.058333,33.333333,LOCKED,28.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
32,1.091667,33.333333,LOCKED,28.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
33,1.125000,33.333333,LOCKED,28.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
34,1.158333,33.333333,FIRING,28.000000,0.061207,0.367242,0.768130,true,0.00000000,0.00000000,0.00000000
35,1.191667,33.333333,FIRING,28.000000,0.281078,1.686469,1.784181,true,0.00000000,0.00000000,0.00000000
36,1.225000,33.333333,FIRING,28.000000,0.463623,2.781738,2.822320,true,0.00000000,0.00000000,0.00000000
37,1.258333,33.333333,FIRING,28.000000,0.612314,3.673882,3.694470,true,0.00000000,0.00000000,0.00000000
38,1.291667,33.333333,FIRING,28.000000,0.730622,4.383735,4.395209,true,0.00000000,0.00000000,0.00000000
39,1.325000,33.333333,FIRING,28.000000,0.822021,4.932129,4.939129,true,0.00000000,0.00000000,0.00000000
40,1.358333,33.333333,FIRING,28.000000,0.889983,5.339898,5.344781,true,0.00000000,0.00000000,0.00000000
41,1.391667,33.333333,FIRING,28.000000,0.937979,5.627875,5.631476,true,0.00000000,0.00000000,0.00000000
42,1.425000,33.333333,FIRING,28.000000,0.969482,5.816894,5.819533,true,0.00000000,0.00000000,0.00000000
43,1.458333,33.333333,FIRING,28.000000,0.987965,5.927788,5.930089,true,0.00000000,0.00000000,0.00000000
44,1.491667,33.333333,FIRING,28.000000,0.996899,5.981390,5.983807,true,0.00000000,0.00000000,0.00000000
45,1.525000,33.333333,FIRING,28.000000,0.999756,5.998535,6.000862,true,0.00000000,0.00000000,0.00000000
46,1.558333,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002045,true,0.00000000,0.00000000,0.00000000
47,1.591667,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002102,true,0.00000000,0.00000000,0.00000000
48,1.625000,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002376,true,0.00000000,0.00000000,0.00000000
49,1.658333,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002303,true,0.00000000,0.00000000,0.00000000
50,1.691667,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002034,true,0.00000000,0.00000000,0.00000000
51,1.725000,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002122,true,0.00000000,0.00000000,0.00000000
52,1.758333,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002386,true,0.00000000,0.00000000,0.00000000
53,1.791667,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002283,true,0.00000000,0.00000000,0.00000000
54,1.825000,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002024,true,0.00000000,0.00000000,0.00000000
